EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition_
11,45,No,Travel_Rarely,Research & Development,17,2,Medical,1,Male,2,Laboratory Technician,Married,79910,0,Y,13,8,2,21,2,20,4,10,3,4,3,2,3,0
12,36,No,Travel_Rarely,Research & Development,28,1,Life Sciences,1,Male,1,Laboratory Technician,Married,33770,0,Y,12,8,2,16,2,15,10,11,NA,4,3,3,3,0
13,55,No,Travel_Rarely,Research & Development,14,4,Life Sciences,1,Female,1,Sales Executive,Single,55380,0,Y,17,8,0,37,2,36,4,13,4,1,3,3,3,0
14,47,Yes,Non-Travel,Research & Development,1,1,Medical,1,Male,1,Research Scientist,Married,57620,1,Y,11,8,2,10,4,10,9,9,1,2,2,2,3,1
15,28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,1,Manufacturing Director,Married,25920,1,Y,14,8,0,5,2,5,0,4,4,4,2,3,3,0
16,37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,2,Healthcare Representative,Married,53460,4,Y,11,8,0,7,2,5,0,1,3,4,4,3,3,0
17,21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Male,1,Laboratory Technician,Single,42130,1,Y,12,8,3,3,3,3,1,0,4,3,4,2,3,0
18,37,No,Non-Travel,Research & Development,1,3,Medical,1,Male,2,Sales Executive,Divorced,41270,2,Y,13,8,1,15,2,5,0,2,1,4,3,3,3,0
19,35,No,Travel_Rarely,Sales,7,4,Life Sciences,1,Male,1,Sales Representative,Divorced,24380,7,Y,16,8,0,10,5,7,6,2,2,2,2,2,3,0
20,38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,Female,1,Manager,Divorced,68700,1,Y,11,8,1,8,5,8,7,7,1,1,3,3,3,0
21,26,No,Travel_Frequently,Research & Development,1,4,Other,1,Male,2,Laboratory Technician,Divorced,104470,1,Y,18,8,0,6,3,6,1,4,3,2,1,3,3,0
22,50,No,Travel_Rarely,Sales,8,4,Life Sciences,1,Male,1,Research Scientist,Divorced,96670,3,Y,23,8,0,28,2,10,1,6,1,2,2,2,4,0
23,53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,1,Female,2,Research Scientist,Married,21480,3,Y,11,8,0,21,2,5,1,3,3,3,2,3,3,0
24,42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,1,Male,1,Manufacturing Director,Married,89260,1,Y,14,8,0,NA,4,20,11,6,2,3,3,1,3,0
25,29,No,Travel_Frequently,Research & Development,16,4,Medical,1,Male,1,Laboratory Technician,Single,65130,1,Y,11,8,1,10,2,10,0,9,2,4,2,3,3,0
26,55,No,Travel_Rarely,Research & Development,1,4,Other,1,Female,1,Research Scientist,Married,67990,3,Y,11,8,0,12,2,10,0,8,2,4,3,3,3,0
27,26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Female,1,Manager,Married,162910,1,Y,22,8,0,5,3,5,3,3,1,1,3,3,4,0
28,37,No,Travel_Rarely,Sales,5,1,Marketing,1,Male,1,Research Scientist,Single,27050,1,Y,11,8,0,17,2,17,5,7,4,4,3,3,3,0
29,44,Yes,Travel_Frequently,Research & Development,1,2,Medical,1,Male,2,Research Scientist,Divorced,103330,3,Y,14,8,1,19,2,1,0,0,4,3,1,2,3,1
30,38,No,Travel_Rarely,Sales,2,3,Marketing,1,Female,1,Manager,Divorced,44480,9,Y,12,8,0,10,3,2,1,2,4,4,3,2,3,0
31,26,Yes,Travel_Rarely,Research & Development,4,3,Medical,1,Male,3,Research Scientist,Divorced,68540,2,Y,11,8,0,5,5,3,0,2,1,2,3,2,3,1
32,28,No,Travel_Rarely,Research & Development,7,3,Other,1,Male,1,Human Resources,Single,96370,1,Y,13,8,0,5,6,5,0,2,4,4,3,2,3,0
33,49,No,Travel_Frequently,Research & Development,1,1,Medical,1,Female,2,Research Scientist,Single,35910,9,Y,13,8,0,22,2,3,1,2,3,1,3,3,3,0
34,36,No,Travel_Rarely,Sales,5,3,Technical Degree,1,Male,3,Sales Executive,Single,54050,4,Y,14,8,0,10,2,8,7,7,3,2,3,3,3,0
35,31,No,Travel_Frequently,Research & Development,9,4,Medical,1,Male,1,Sales Executive,Divorced,46840,1,Y,16,8,1,2,4,2,2,2,4,2,2,3,3,0
36,26,Yes,Travel_Rarely,Research & Development,8,3,Medical,1,Male,2,Manager,Single,157870,1,Y,12,8,2,8,5,8,7,4,4,4,3,3,3,1
37,37,No,Travel_Frequently,Sales,9,1,Marketing,1,Male,1,Laboratory Technician,Married,15140,1,Y,14,8,0,4,3,4,1,2,2,4,2,3,3,0
38,42,No,Travel_Frequently,Sales,2,2,Marketing,1,Male,3,Research Director,Married,29560,5,Y,13,8,0,23,2,20,4,8,3,2,4,3,3,0
39,18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,1,Sales Executive,Single,23350,1,Y,14,8,2,0,3,0,0,0,3,3,3,2,3,1
40,35,No,Travel_Rarely,Sales,20,2,Life Sciences,1,Male,1,Laboratory Technician,Married,51540,0,Y,19,8,0,12,2,11,6,9,3,2,2,2,3,0
41,36,No,Travel_Frequently,Research & Development,8,3,Other,1,Female,3,Sales Executive,Married,69620,4,Y,12,8,2,4,2,1,0,0,3,NA,3,2,3,0
42,51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Male,2,Laboratory Technician,Divorced,56750,5,Y,13,8,0,13,2,4,1,2,4,2,3,2,3,0
43,41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,1,Male,1,Laboratory Technician,Single,23790,1,Y,12,8,0,22,6,22,0,4,4,2,3,3,3,0
44,18,No,Travel_Rarely,Sales,7,3,Life Sciences,1,Male,1,Research Scientist,Single,38120,1,Y,15,8,0,0,3,0,0,0,4,3,3,3,3,0
45,28,No,Travel_Rarely,Research & Development,9,3,Medical,1,Male,1,Sales Representative,Single,46480,0,Y,23,8,2,9,2,8,0,7,2,1,3,2,4,0
46,31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,1,Male,1,Manufacturing Director,Married,29360,4,Y,12,8,1,10,2,8,7,7,2,4,2,3,3,0
47,39,No,Travel_Rarely,Sales,5,4,Marketing,1,Female,2,Human Resources,Divorced,21050,0,Y,20,8,0,19,3,18,3,7,3,4,2,3,4,0
48,36,No,Non-Travel,Research & Development,5,4,Life Sciences,1,Male,1,Sales Executive,Married,85780,7,Y,21,8,0,11,4,9,0,8,2,2,3,3,4,0
49,32,No,Travel_Rarely,Sales,2,3,Marketing,1,Male,2,Laboratory Technician,Married,27060,1,Y,21,8,1,13,4,13,4,8,4,3,2,3,4,0
50,38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Female,3,Research Scientist,Married,63840,3,Y,19,8,2,19,4,10,0,1,1,2,3,2,3,0
51,58,No,Non-Travel,Research & Development,2,3,Life Sciences,1,Male,2,Manufacturing Director,Divorced,39680,2,Y,13,8,2,12,3,5,1,2,4,3,3,2,3,0
52,31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,1,Female,3,Research Scientist,Married,99070,0,Y,13,8,1,6,3,5,0,3,3,4,3,2,3,0
53,31,No,Travel_Rarely,Sales,7,4,Marketing,1,Male,2,Sales Executive,Married,132250,3,Y,21,8,1,9,2,2,1,0,1,1,3,3,4,0
54,45,No,Travel_Frequently,Research & Development,3,1,Medical,1,Female,1,Sales Executive,Divorced,35400,1,Y,13,8,0,24,6,24,9,11,1,1,3,3,3,0
55,31,No,Travel_Rarely,Sales,16,4,Marketing,1,Female,2,Research Scientist,Divorced,28040,0,Y,19,8,2,3,0,2,2,2,3,4,1,3,3,0
56,33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Male,4,Research Director,Married,193920,6,Y,12,8,1,12,3,10,8,8,4,2,3,3,3,0
57,39,No,Travel_Rarely,Sales,1,4,Life Sciences,1,Male,1,Sales Executive,Married,196650,1,Y,22,8,1,21,6,21,11,10,3,1,3,3,4,0
58,43,No,Travel_Frequently,Research & Development,7,4,Medical,1,Male,4,Research Scientist,Single,24390,0,Y,15,8,0,9,2,8,1,7,3,4,3,3,3,0
59,49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,3,Manufacturing Director,Single,73140,7,Y,22,8,0,25,2,7,0,7,3,3,3,3,4,0
60,52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,1,Female,2,Research Scientist,Married,47740,2,Y,18,8,1,11,2,8,7,7,3,2,2,3,3,1
61,27,No,Travel_Rarely,Research & Development,15,4,Medical,1,Male,3,Research Scientist,Single,39020,1,Y,22,8,0,4,2,4,1,2,3,2,2,3,4,0
62,32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,3,Research Scientist,Married,26620,1,Y,11,8,1,13,6,13,11,9,3,2,3,4,3,0
63,27,No,Travel_Rarely,Research & Development,13,2,Medical,1,Female,4,Research Director,Single,28560,1,Y,12,8,2,5,5,5,0,4,4,3,3,4,3,0
64,31,No,Travel_Rarely,Sales,24,3,Life Sciences,1,Male,2,Healthcare Representative,Divorced,10810,4,Y,11,8,3,13,4,7,1,7,4,4,3,4,3,0
65,32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,1,Male,2,Healthcare Representative,Single,24720,7,Y,13,8,0,10,2,7,0,7,1,4,2,3,3,0
66,28,Yes,Travel_Rarely,Research & Development,9,4,Medical,1,Male,1,Sales Executive,Married,56730,5,Y,14,8,1,5,4,3,2,2,1,4,2,2,3,1
67,30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,1,Female,4,Research Director,Married,41970,1,Y,13,8,0,11,3,10,1,9,4,4,3,3,3,0
68,31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,1,Female,1,Manager,Married,97130,1,Y,17,8,0,10,5,10,8,9,3,3,3,2,3,0
69,39,No,Travel_Frequently,Research & Development,19,4,Medical,1,Female,1,Research Scientist,Married,20620,1,Y,13,8,0,21,4,21,13,3,3,4,3,3,3,0
70,39,Yes,Travel_Rarely,Research & Development,1,1,Medical,1,Female,1,Laboratory Technician,Married,42840,4,Y,17,8,1,12,0,1,0,0,4,3,2,3,3,1
71,33,No,Travel_Frequently,Sales,4,2,Life Sciences,1,Male,4,Research Scientist,Single,47880,3,Y,11,8,1,9,0,7,0,1,2,4,2,3,3,0
72,47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,Female,2,Healthcare Representative,Married,59060,4,Y,23,8,0,21,4,3,1,1,4,3,3,4,4,0
73,43,No,Travel_Frequently,Research & Development,14,3,Medical,1,Female,5,Research Director,Divorced,38860,1,Y,17,8,2,9,2,9,0,0,3,3,4,3,3,0
74,27,No,Non-Travel,Research & Development,2,3,Life Sciences,1,Male,1,Research Director,Married,168230,0,Y,17,8,0,6,3,5,1,4,3,2,3,3,3,0
75,54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,1,Male,2,Research Scientist,Single,29330,3,Y,12,8,2,20,2,4,0,3,4,3,2,3,3,0
76,43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,1,Female,2,Manager,Married,65000,8,Y,23,8,0,10,3,1,0,0,3,1,2,3,4,0
77,45,No,Travel_Rarely,Sales,3,1,Marketing,1,Female,1,Sales Executive,Married,171740,9,Y,14,8,1,12,6,10,9,8,4,4,3,3,3,0
78,40,No,Travel_Rarely,Research & Development,2,4,Other,1,Male,4,Research Scientist,Married,50330,2,Y,14,8,2,6,6,4,0,2,2,4,2,3,3,0
79,29,Yes,Travel_Rarely,Research & Development,29,3,Medical,1,Female,1,Research Scientist,Married,23070,1,Y,13,8,1,7,0,7,0,7,2,1,2,3,3,1
80,29,No,Travel_Rarely,Human Resources,8,3,Medical,1,Male,3,Sales Representative,Single,25870,0,Y,22,8,2,4,3,3,2,2,2,4,3,3,4,0
81,30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,1,Male,2,Research Scientist,Divorced,55070,1,Y,12,8,2,10,2,10,1,2,4,3,3,2,3,0
82,27,No,Travel_Rarely,Research & Development,11,2,Medical,1,Male,1,Manager,Married,43930,1,Y,18,8,1,8,2,8,0,7,2,2,3,2,3,0
83,37,No,Travel_Rarely,Sales,1,4,Life Sciences,1,Male,2,Healthcare Representative,Divorced,133480,7,Y,14,8,0,8,4,6,0,4,4,4,2,3,3,0
84,38,No,Travel_Rarely,Research & Development,28,4,Medical,1,Male,1,Laboratory Technician,Divorced,65830,0,Y,12,8,0,12,1,11,2,9,3,4,3,3,3,0
85,31,No,Travel_Rarely,Research & Development,6,3,Medical,1,Female,3,Manager,Single,81030,1,Y,15,8,1,11,5,11,4,10,3,4,NA,3,3,0
86,29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,Male,3,Sales Executive,Divorced,39780,1,Y,11,8,0,7,0,7,1,7,4,2,3,3,3,0
87,35,No,Travel_Rarely,Sales,16,2,Technical Degree,1,Male,3,Manager,Single,25440,0,Y,13,8,1,17,3,16,0,13,3,2,3,4,3,0
88,23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,1,Male,1,Manufacturing Director,Divorced,53990,1,Y,23,8,0,4,2,4,0,2,3,4,2,2,4,0
89,41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,1,Female,1,Laboratory Technician,Single,54870,6,Y,19,8,2,8,0,5,1,2,4,2,3,3,3,0
90,47,No,Travel_Frequently,Sales,1,3,Medical,1,Female,2,Laboratory Technician,Single,68340,3,Y,16,8,1,5,2,0,0,0,2,3,3,4,3,0
91,42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,Male,1,Manager,Single,10910,2,Y,22,8,0,16,0,1,0,0,1,4,3,1,4,0
92,29,No,Non-Travel,Sales,22,4,Marketing,1,Male,2,Human Resources,Married,57360,1,Y,22,8,0,4,1,4,0,2,4,3,2,2,4,0
93,42,No,Travel_Rarely,Sales,7,4,Medical,1,Male,3,Research Scientist,Divorced,22260,0,Y,12,8,1,4,3,3,1,0,3,3,3,2,3,0
94,32,No,Travel_Rarely,Research & Development,2,3,Medical,1,Male,2,Research Scientist,Married,57470,1,Y,13,8,0,8,0,8,0,7,3,2,3,3,3,0
95,48,No,Travel_Rarely,Sales,13,4,Medical,1,Male,4,Sales Executive,Married,98540,3,Y,16,8,1,15,2,0,0,0,1,3,1,2,3,0
96,37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,1,Male,2,Manufacturing Director,Divorced,54670,4,Y,12,8,0,13,2,7,6,7,3,1,3,3,3,0
97,30,No,Non-Travel,Sales,25,4,Other,1,Male,1,Healthcare Representative,Married,53800,7,Y,21,8,1,4,0,2,2,2,4,3,4,3,4,0
98,26,No,Travel_Rarely,Sales,28,3,Medical,1,Female,5,Laboratory Technician,Married,51510,1,Y,15,8,3,8,3,8,7,7,3,3,3,3,3,0
99,42,No,Travel_Rarely,Sales,2,2,Medical,1,Female,1,Laboratory Technician,Single,21330,3,Y,13,8,2,14,2,1,0,0,1,4,3,3,3,0
100,21,Yes,Travel_Frequently,Research & Development,9,3,Medical,1,Female,4,Manufacturing Director,Single,178750,1,Y,12,8,0,3,5,3,1,2,1,2,3,2,3,1
101,36,No,Non-Travel,Human Resources,28,3,Human Resources,1,Male,2,Laboratory Technician,Single,24320,4,Y,22,8,0,7,4,1,0,0,4,4,3,1,4,0
102,36,No,Travel_Frequently,Research & Development,6,3,Life Sciences,1,Female,2,Research Scientist,Married,47710,4,Y,13,8,1,16,2,13,1,12,1,4,3,3,3,0
103,57,No,Travel_Rarely,Research & Development,21,4,Life Sciences,1,Male,5,Research Scientist,Married,191610,2,Y,18,8,0,15,2,3,1,2,4,3,3,1,3,0
104,40,No,Travel_Rarely,Research & Development,8,3,Other,1,Male,2,Sales Executive,Married,50870,3,Y,14,8,1,10,3,7,1,7,4,3,3,3,3,0
105,21,No,Non-Travel,Research & Development,1,5,Life Sciences,1,Female,2,Manager,Single,28630,1,Y,14,8,0,3,2,3,2,2,1,4,2,1,3,0
106,33,Yes,Travel_Rarely,Human Resources,28,2,Human Resources,1,Female,5,Manager,Single,55610,1,Y,21,8,1,1,3,1,0,0,4,3,3,1,4,1
107,37,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1,Male,4,Research Scientist,Married,21440,6,Y,19,8,0,17,3,5,0,3,3,1,3,4,3,0
108,46,No,Non-Travel,Sales,2,4,Marketing,1,Female,2,Laboratory Technician,Married,30650,2,Y,11,8,0,7,3,1,0,0,3,3,4,3,3,0
109,41,Yes,Travel_Frequently,Research & Development,16,1,Medical,1,Female,1,Research Scientist,Single,28100,1,Y,11,8,0,8,3,8,7,7,1,2,3,4,3,1
110,50,No,Travel_Rarely,Research & Development,9,3,Medical,1,Female,3,Laboratory Technician,Single,98880,6,Y,15,8,0,20,2,4,1,3,4,4,3,3,3,0
111,40,Yes,Travel_Rarely,Research & Development,8,3,Medical,1,Female,1,Healthcare Representative,Married,86280,2,Y,20,8,0,8,2,6,1,0,3,3,3,2,4,1
112,31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,4,Human Resources,Single,28670,0,Y,24,8,0,3,5,2,2,2,NA,2,3,3,4,0
113,21,Yes,Travel_Rarely,Human Resources,10,2,Human Resources,1,Male,1,Laboratory Technician,Single,53730,1,Y,12,8,1,1,2,1,0,0,3,2,3,3,3,1
114,29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,2,Research Director,Single,66670,9,Y,12,8,1,6,6,3,1,2,4,4,3,4,3,0
115,35,No,Travel_Rarely,Research & Development,29,3,Life Sciences,1,Female,3,Sales Executive,Single,50030,9,Y,15,8,0,10,2,1,0,0,3,2,3,3,3,0
116,27,No,Travel_Rarely,Sales,2,3,Life Sciences,1,Male,1,Sales Executive,Divorced,23670,NA,Y,12,8,1,5,2,5,0,4,4,2,3,3,3,0
117,28,No,Travel_Rarely,Research & Development,2,2,Medical,1,Male,3,Manager,Single,28580,1,Y,12,8,0,7,2,7,0,7,2,4,3,2,3,0
118,49,No,Travel_Rarely,Sales,2,3,Technical Degree,1,Male,2,Manufacturing Director,Single,52040,8,Y,14,8,1,26,3,5,0,0,2,3,3,3,3,0
119,51,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,1,Sales Executive,Married,41050,4,Y,22,8,1,18,2,7,0,7,3,4,2,3,4,0
120,36,No,Travel_Rarely,Sales,15,2,Life Sciences,1,Male,1,Sales Executive,Married,96790,4,Y,12,8,0,6,1,2,2,2,4,3,3,3,3,0
121,34,Yes,Non-Travel,Research & Development,7,3,Life Sciences,1,Male,1,Sales Representative,Single,56170,8,Y,25,8,1,9,3,5,0,4,1,4,2,3,4,1
122,55,No,Travel_Rarely,Sales,26,3,Marketing,1,Male,1,Laboratory Technician,Single,104480,2,Y,13,8,0,30,3,5,1,2,3,4,3,3,3,0
123,24,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,5,Manager,Divorced,28970,1,Y,18,8,3,5,4,5,0,3,4,3,4,3,3,0
124,30,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,Female,2,Manager,Married,59680,1,Y,13,8,0,1,3,1,0,0,3,2,3,3,3,0
125,26,Yes,Travel_Frequently,Sales,14,3,Life Sciences,1,Male,2,Manager,Single,75100,0,Y,18,8,3,7,3,6,0,4,3,NA,3,3,3,1
126,22,No,Travel_Rarely,Research & Development,16,5,Other,1,Male,1,Research Scientist,Married,29910,1,Y,19,8,2,2,3,2,1,2,1,2,3,2,3,0
127,36,No,Travel_Rarely,Research & Development,1,3,Medical,1,Female,5,Healthcare Representative,Married,196360,1,Y,12,8,1,10,3,10,9,0,2,3,3,3,3,0
128,30,Yes,Travel_Frequently,Sales,3,2,Marketing,1,Male,3,Research Scientist,Single,11290,9,Y,19,8,0,3,2,1,0,0,3,4,3,2,3,1
129,37,No,Travel_Rarely,Research & Development,10,1,Technical Degree,1,Male,1,Sales Executive,Divorced,133410,1,Y,14,8,1,18,3,18,12,17,4,1,2,3,3,0
130,40,No,Travel_Rarely,Research & Development,6,2,Medical,1,Male,3,Research Scientist,Divorced,43320,7,Y,14,8,2,8,3,5,1,3,4,2,3,2,3,0
131,42,No,Travel_Rarely,Research & Development,2,3,Medical,1,Female,4,Manager,Divorced,110310,3,Y,12,8,1,8,2,5,1,2,2,1,3,2,3,0
132,37,No,Travel_Rarely,Sales,9,1,Marketing,1,Male,3,Sales Executive,Single,44400,2,Y,11,8,1,18,3,1,0,1,3,2,2,2,3,0
133,43,No,Travel_Rarely,Sales,10,2,Life Sciences,1,Female,1,Sales Executive,Divorced,46170,1,Y,11,8,0,25,2,25,3,9,1,2,3,3,3,0
134,40,No,Travel_Rarely,Sales,6,2,Life Sciences,1,Female,1,Laboratory Technician,Married,26470,6,Y,13,8,0,20,2,1,0,0,2,3,3,2,3,0
135,54,No,Travel_Rarely,Human Resources,9,3,Life Sciences,1,Female,2,Manufacturing Director,Married,63230,4,Y,23,8,1,24,2,4,1,2,1,1,2,2,4,0
136,34,No,Non-Travel,Research & Development,28,3,Medical,1,Male,1,Laboratory Technician,Married,56770,9,Y,20,8,1,6,3,3,1,2,3,3,3,3,4,0
137,31,No,Travel_Rarely,Research & Development,10,4,Life Sciences,1,Male,3,Sales Executive,Married,21870,1,Y,15,8,1,13,2,13,3,12,2,1,1,2,3,0
138,43,No,Travel_Frequently,Sales,14,3,Life Sciences,1,Female,1,Manufacturing Director,Married,37480,7,Y,14,8,2,NA,3,3,1,2,4,4,3,2,3,0
139,43,No,Travel_Rarely,Sales,27,4,Life Sciences,1,Male,2,Sales Representative,Divorced,39770,4,Y,18,8,1,8,3,5,0,2,3,3,3,3,3,0
140,25,No,Travel_Rarely,Human Resources,7,2,Human Resources,1,Male,1,Manufacturing Director,Single,86330,1,Y,19,8,1,5,2,5,1,3,2,4,3,4,3,0
141,37,No,Non-Travel,Research & Development,1,3,Medical,1,Male,3,Laboratory Technician,Married,20080,3,Y,22,8,0,15,5,13,10,7,2,3,3,2,4,0
142,31,No,Travel_Rarely,Research & Development,24,1,Medical,1,Male,3,Laboratory Technician,Married,44400,1,Y,13,8,1,4,2,4,3,2,4,1,3,3,3,0
143,39,No,Travel_Frequently,Research & Development,26,4,Technical Degree,1,Female,1,Sales Executive,Divorced,30670,1,Y,20,8,1,21,5,21,1,6,2,3,3,1,4,0
144,56,No,Travel_Frequently,Research & Development,20,4,Life Sciences,1,Female,3,Sales Executive,Married,53210,9,Y,14,8,0,36,1,7,7,7,3,1,2,3,3,0
145,30,No,Travel_Rarely,Sales,5,4,Medical,1,Female,2,Manufacturing Director,Single,54100,0,Y,17,8,1,6,2,5,4,4,2,3,3,3,3,0
146,41,No,Travel_Rarely,Research & Development,7,3,Technical Degree,1,Female,3,Research Scientist,Married,27820,1,Y,14,8,0,10,2,10,0,7,2,1,3,2,3,0
147,28,No,Travel_Rarely,Research & Development,7,3,Medical,1,Male,3,Healthcare Representative,Divorced,119570,1,Y,13,8,0,10,2,10,1,8,3,1,3,2,3,0
148,25,Yes,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Female,3,Laboratory Technician,Married,26600,5,Y,13,8,0,6,3,2,0,2,1,1,3,3,3,1
149,52,No,Travel_Rarely,Research & Development,26,2,Life Sciences,1,Female,2,Sales Representative,Married,33750,2,Y,21,8,0,28,2,5,0,4,4,3,3,2,4,0
150,45,No,Travel_Rarely,Research & Development,2,3,Medical,1,Female,1,Sales Executive,Married,50980,3,Y,14,8,1,8,4,2,0,2,1,4,2,3,3,0
151,52,No,Travel_Rarely,Research & Development,12,3,Medical,1,Male,2,Research Scientist,Married,48780,2,Y,11,8,1,31,3,5,1,4,4,4,1,3,3,0
152,42,No,Travel_Frequently,Sales,10,3,Marketing,1,Female,2,Healthcare Representative,Divorced,28370,2,Y,13,8,1,19,0,5,0,2,1,3,3,2,3,0
153,30,No,Travel_Rarely,Sales,25,3,Marketing,1,Male,1,Sales Executive,Single,24060,2,Y,20,8,1,11,5,5,0,2,3,4,3,3,4,0
154,60,No,Travel_Rarely,Research & Development,10,3,Life Sciences,1,Female,1,Manufacturing Director,Married,22690,5,Y,18,8,1,33,4,29,11,10,1,1,1,3,3,0
155,46,No,Travel_Rarely,Sales,19,4,Marketing,1,Female,1,Sales Executive,Divorced,41080,2,Y,14,8,0,19,5,10,0,8,3,3,2,2,3,0
156,42,No,Travel_Frequently,Research & Development,18,4,Technical Degree,1,Male,4,Sales Executive,Married,132060,0,Y,13,8,2,7,2,6,0,4,4,4,4,3,3,0
157,24,Yes,Travel_Rarely,Research & Development,27,2,Medical,1,Male,1,Research Scientist,Single,104220,1,Y,17,8,1,6,0,5,1,4,1,2,3,2,3,1
158,34,Yes,Travel_Frequently,Research & Development,5,3,Medical,1,Male,2,Research Scientist,Divorced,137440,0,Y,20,8,1,3,3,2,1,0,4,3,2,3,4,1
159,38,No,Travel_Frequently,Sales,3,3,Marketing,1,Female,2,Sales Executive,Married,49070,1,Y,11,8,1,1,3,1,0,0,4,4,3,3,3,0
160,40,No,Travel_Rarely,Sales,26,4,Marketing,1,Female,1,Sales Executive,Married,34820,0,Y,18,8,1,21,2,20,1,12,3,3,3,2,3,0
161,26,No,Travel_Rarely,Research & Development,3,2,Medical,1,Female,4,Healthcare Representative,Divorced,24360,1,Y,24,8,0,3,2,3,0,2,1,4,1,4,4,0
